Plant code;Primary Plant activity;Audit code;Audit date;Audit nature;Audit schedule type;Non-verified NCs;Non-verified Business Critical NCs;Non-verified Critical NCs;Non-verified Major NCs;Non-verified Minor NCs;Overdue non-verified NCs;Country/Region
XXX1000018433;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600157516;17/09/2025;Full initial audit;Semi-announced;3;0;0;2;1;3;India
XXX1000018775;Manufacture of other food products n.e.c.;;;;;;;;;;;United States
XXX1000018878;Other food service activities;XXXA600043421;07/02/2024;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1000019;Manufacture of grain mill products;;;;;;;;;;;India
XXX1000019085;Printing;XXXA600133553;22/05/2025;Periodic audit;Semi-announced;2;0;0;2;0;2;Viet Nam
XXX1000019312;Manufacture of vegetable and animal oils and fats;;;;;;;;;;;Ukraine
XXX1000021257;Manufacture of sugar;XXXA600046655;30/01/2024;Full initial audit;Semi-announced;0;0;0;0;0;0;Poland
XXX1000021258;Manufacture of sugar;XXXA600045863;25/01/2024;Full initial audit;Semi-announced;0;0;0;0;0;0;Poland
XXX1000022022;Manufacture of other food products n.e.c.;;;;;;;;;;;India
XXX1000022462;;;;;;;;;;;;Belgium
XXX1000022854;Manufacture of sugar;XXXA600117926;03/03/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Poland
XXX1000023;Manufacture of other food products n.e.c.;XXXA600165456;16/12/2025;Periodic audit;Semi-announced;4;0;2;1;1;4;United States
XXX1000023592;Manufacture of dairy products;XXXA600185235;10/02/2026;Full initial audit;Semi-announced;1;0;0;1;0;1;United States
XXX1000023898;Warehousing and storage;XXXA600151088;27/10/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;Netherlands
XXX1000023999;Manufacture of plastics products;XXXA600145535;23/07/2025;Full initial audit;Announced;0;0;0;0;0;0;Viet Nam
XXX1000024;Manufacture of other food products n.e.c.;XXXA600134081;29/05/2025;Periodic audit;Semi-announced;2;0;1;1;0;2;United States
XXX1000024040;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600196135;06/04/2026;Periodic audit;Announced;0;0;0;0;0;0;India
XXX1000024040;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600196135;06/04/2026;Periodic audit;Announced;0;0;0;0;0;0;India
XXX1000024166;Manufacture of bakery products;XXXA600196507;08/04/2026;Periodic audit;Announced;0;0;0;0;0;0;India
XXX1000026283;Manufacture of other food products n.e.c.;;;;;;;;;;;Mexico
XXX1000026632;Manufacture of dairy products;XXXA600150051;20/08/2025;Periodic audit;Announced;2;0;2;0;0;2;Italy
XXX1000027403;Manufacture of other food products n.e.c.;XXXA600122505;28/04/2025;Full initial audit;Announced;1;0;1;0;0;1;Switzerland
