Plant code;Primary Plant activity;Audit code;Audit date;Audit nature;Audit schedule type;Non-verified NCs;Non-verified Business Critical NCs;Non-verified Critical NCs;Non-verified Major NCs;Non-verified Minor NCs;Overdue non-verified NCs;Country/Region
XXX1015582;Manufacture of other fabricated metal products n.e.c.;XXXA600146296;24/09/2025;Full initial audit;Semi-announced;0;0;0;0;0;0;France
XXX1015642;Manufacture of dairy products;XXXA600150294;12/08/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;United Kingdom
XXX1015697;;;;;;;;;;;;Poland
XXX1015700;Manufacture of basic chemicals;XXXA127962278;23/09/2016;Full initial audit;Semi-announced;0;0;0;0;0;0;China
XXX1015701;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA409272410;15/06/2020;Full initial audit;Announced;0;0;0;0;0;0;Austria
XXX1015707;Manufacture of grain mill products;XXXA600110877;21/01/2025;Full initial audit;Announced;2;0;0;1;1;2;United States
XXX1015707;Manufacture of grain mill products;XXXA600110877;21/01/2025;Full initial audit;Announced;2;0;0;1;1;2;United States
XXX1015728;;;;;;;;;;;;United States
XXX1015795;Manufacture of plastics products;;;;;;;;;;;Nigeria
XXX1015846;Processing and preserving of fruit and vegetables;XXXA131392061;05/09/2016;Full initial audit;Announced;0;0;0;0;0;0;Poland
XXX1016191;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600051724;25/11/2024;Full initial audit;Announced;0;0;0;0;0;0;Belgium
XXX1016196;Manufacture of other articles of paper and paperboard;XXXA600104851;27/01/2026;Full initial audit;Semi-announced;7;0;0;5;2;7;Germany
XXX1016204;Manufacture of vegetable and animal oils and fats;;;;;;;;;;;Germany
XXX1016212;Manufacture of glass and glass products;;;;;;;;;;;United Kingdom
XXX1016245;;;;;;;;;;;;China
XXX1016271;Manufacture of other food products n.e.c.;XXXA600093598;12/11/2024;Periodic audit;Semi-announced;0;0;0;0;0;0;France
XXX1016273;Manufacture of other food products n.e.c.;XXXA600100683;24/06/2025;Periodic audit;Announced;0;0;0;0;0;0;United States
XXX1016278;Manufacture of starches and starch products;XXXA600156658;29/09/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Bulgaria
XXX1016318;Manufacture of other food products n.e.c.;XXXA600196510;08/04/2026;Periodic audit;Semi-announced;5;0;3;1;1;4;Turkey
XXX1016360;Manufacture of dairy products;XXXA421748082;24/01/2023;Full initial audit;Announced;0;0;0;0;0;0;United Kingdom
XXX1016376;;;;;;;;;;;;United Kingdom
XXX1016381;;;;;;;;;;;;Thailand
XXX1016415;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600142830;23/09/2025;Periodic audit;Announced;0;0;0;0;0;0;Germany
XXX1016416;;;;;;;;;;;;United Kingdom
XXX1016421;;;;;;;;;;;;United Kingdom
XXX1016518;Manufacture of other food products n.e.c.;XXXA600048125;25/03/2024;Periodic audit;Semi-announced;0;0;0;0;0;0;Germany
XXX1016548;Processing and preserving of fruit and vegetables;XXXA600180821;21/01/2026;Periodic audit;Announced;2;0;1;1;0;0;Poland
XXX1016548;Processing and preserving of fruit and vegetables;XXXA600180821;21/01/2026;Periodic audit;Announced;2;0;1;1;0;0;Poland
XXX1016573;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600046675;28/05/2024;Full initial audit;Semi-announced;7;0;1;4;2;7;United Kingdom
XXX1016578;Manufacture of bakery products;XXXA600083850;23/08/2024;Partial follow-up audit;Announced;0;0;0;0;0;0;United Kingdom
XXX1016624;Manufacture of other food products n.e.c.;XXXA600185008;06/02/2026;Partial follow-up audit;Announced;1;0;0;0;1;1;United States
XXX1016635;;;;;;;;;;;;United States
XXX1016637;Activities of head offices;;;;;;;;;;;United Kingdom
XXX1016649;;;;;;;;;;;;Canada
XXX1016723;Manufacture of other food products n.e.c.;XXXA600175787;18/12/2025;Periodic audit;Semi-announced;3;0;0;3;0;3;Turkey
XXX1016730;Manufacture of other food products n.e.c.;;;;;;;;;;;United Kingdom
XXX1016751;Manufacture of other food products n.e.c.;XXXA600097348;20/11/2024;Periodic audit;Semi-announced;0;0;0;0;0;0;United States
XXX1016760;Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations;XXXA418777736;07/04/2022;Periodic audit;Announced;0;0;0;0;0;0;Switzerland
XXX1016760;Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations;XXXA418777736;07/04/2022;Periodic audit;Announced;0;0;0;0;0;0;Switzerland
XXX1016774;Manufacture of other food products n.e.c.;XXXA600189087;12/03/2026;Full initial audit;Announced;3;0;0;3;0;3;United States
XXX1016789;Combined office administrative service activities;XXXA600188895;16/03/2026;Periodic audit;Announced;1;0;0;1;0;1;United States
XXX1016822;Manufacture of other food products n.e.c.;XXXA600165451;05/03/2026;Periodic audit;Announced;0;0;0;0;0;0;United States
XXX1016822;Manufacture of other food products n.e.c.;XXXA600165451;05/03/2026;Periodic audit;Announced;0;0;0;0;0;0;United States
XXX1016834;;;;;;;;;;;;Japan
XXX1016837;;;;;;;;;;;;India
XXX1016840;Manufacture of sugar;XXXA422055125;12/12/2022;Periodic audit;Announced;2;0;0;2;0;2;France
XXX1016866;Printing;;;;;;;;;;;United States
XXX1016881;Manufacture of other chemical products n.e.c.;;;;;;;;;;;Colombia
XXX1016911;Manufacture of sugar;XXXA600195989;07/04/2026;Periodic audit;Semi-announced;2;0;0;1;1;1;China
XXX1016912;Manufacture of other food products n.e.c.;XXXA407647996;16/08/2019;Partial follow-up audit;Announced;0;0;0;0;0;0;China
XXX1016927;;;;;;;;;;;;India
XXX1016934;Manufacture of bakery products;XXXA600098067;11/11/2024;Periodic audit;Semi-announced;0;0;0;0;0;0;Germany
XXX1016947;Manufacture of basic chemicals;XXXA600085152;26/11/2024;Periodic audit;Announced;0;0;0;0;0;0;Malaysia
XXX1016954;Manufacture of vegetable and animal oils and fats;XXXA600187958;03/03/2026;Periodic audit;Semi-announced;3;0;1;2;0;0;Spain
XXX1016954;Manufacture of vegetable and animal oils and fats;XXXA600187958;03/03/2026;Periodic audit;Semi-announced;3;0;1;2;0;0;Spain
XXX1016975;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600160614;09/10/2025;Partial follow-up audit;Announced;1;0;0;1;0;1;United States
XXX1016980;Packaging activities;XXXA600192799;24/03/2026;Periodic audit;Semi-announced;5;0;2;1;2;3;United States
XXX1017019;;;;;;;;;;;;Turkey
XXX1017028;;;;;;;;;;;;Mexico
XXX1017033;Manufacture of plastics products;XXXA600195844;08/04/2026;Periodic audit;Semi-announced;0;0;0;0;0;0;Indonesia
XXX1017044;Processing and preserving of fruit and vegetables;XXXA600190298;17/03/2026;Full initial audit;Semi-announced;23;0;4;15;4;17;Netherlands
XXX1017050;Manufacture of spices, sauces and condiments;XXXA600130009;05/05/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Egypt
XXX1017057;Manufacture of pharmaceuticals, medicinal chemical and botanical products;XXXA600169120;28/11/2025;Partial follow-up audit;Announced;1;0;0;1;0;1;Brazil
XXX1017060;Manufacture of dairy products;;;;;;;;;;;Brazil
XXX1017068;Packaging activities;XXXA600184935;09/02/2026;Periodic audit;Semi-announced;0;0;0;0;0;0;Turkey
XXX1017105;Printing;XXXA600047682;13/02/2024;Periodic audit;Semi-announced;1;0;0;1;0;1;United Kingdom
XXX1017119;Manufacture of sugar;XXXA600137209;10/06/2025;Periodic audit;Announced;0;0;0;0;0;0;Spain
XXX1017120;Manufacture of plastics products;XXXA600105161;08/01/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Germany
XXX1017125;;;;;;;;;;;;Mexico
XXX1017138;Manufacture of basic chemicals;XXXA600119160;10/03/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;India
XXX1017152;Manufacture of basic chemicals;XXXA424811270;19/07/2023;Partial follow-up audit;Announced;1;0;0;1;0;1;Germany
XXX1017172;;;;;;;;;;;;China
XXX1017173;Manufacture of other food products n.e.c.;XXXA600137030;12/08/2025;Full initial audit;Semi-announced;1;0;1;0;0;1;United States
XXX1017181;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600138270;18/06/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;United States
XXX1017185;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600120400;19/03/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;Mexico
XXX1017197;Manufacture of plastics products;XXXA600085158;29/08/2024;Partial follow-up audit;Semi-announced;0;0;0;0;0;0;Peru
XXX1017203;Renting and leasing of other machinery, equipment and tangible goods;XXXA1086151;22/05/2014;Partial follow-up audit;Announced;0;0;0;0;0;0;United Kingdom
XXX1017204;Renting and leasing of other machinery, equipment and tangible goods;;;;;;;;;;;United Kingdom
XXX1017262;Manufacture of other food products n.e.c.;;;;;;;;;;;United States
XXX1017265;;;;;;;;;;;;Russian Federation
XXX1017293;Manufacture of paints, varnishes and similar coatings, printing ink and mastics;XXXA600124437;28/04/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;France
XXX1017302;Manufacture of paints, varnishes and similar coatings, printing ink and mastics;XXXA600040418;09/01/2024;Periodic audit;Semi-announced;0;0;0;0;0;0;France
XXX1017318;Manufacture of other food products n.e.c.;XXXA600156859;15/09/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Singapore
XXX1017325;;;;;;;;;;;;United States
XXX1017327;Non-specialized wholesale trade;XXXA600094040;17/10/2024;Periodic audit;Semi-announced;2;0;1;0;1;2;United States
XXX1017336;Manufacture of dairy products;XXXA420886579;01/02/2023;Periodic audit;Announced;0;0;0;0;0;0;France
XXX1017339;Processing and preserving of fruit and vegetables;XXXA600150627;03/09/2025;Periodic audit;Announced;0;0;0;0;0;0;Italy
XXX1017347;Manufacture of dairy products;;;;;;;;;;;United States
XXX1017355;;;;;;;;;;;;Bulgaria
XXX1017360;;;;;;;;;;;;United States
XXX1017382;Manufacture of other food products n.e.c.;XXXA600083633;04/11/2024;Periodic audit;Announced;0;0;0;0;0;0;Netherlands
XXX1017390;;;;;;;;;;;;Russian Federation
XXX1017412;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;United States
XXX1017419;Manufacture of other food products n.e.c.;XXXA600172078;04/12/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Philippines
XXX1017423;;;;;;;;;;;;United States
XXX1017430;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;United States
XXX1017431;Advertising;;;;;;;;;;;Spain
XXX1017549;;;;;;;;;;;;Germany
XXX1017571;Manufacture of other food products n.e.c.;XXXA600054378;29/04/2024;Periodic audit;Semi-announced;0;0;0;0;0;0;Germany
XXX1017621;Manufacture of other food products n.e.c.;XXXA600185705;17/02/2026;Periodic audit;Semi-announced;1;0;0;1;0;1;Spain
XXX1017652;Manufacture of grain mill products;XXXA600039084;08/01/2024;Periodic audit;Semi-announced;0;0;0;0;0;0;Hungary
XXX1017656;Manufacture of other food products n.e.c.;XXXA600183516;11/02/2026;Full initial audit;Semi-announced;6;0;0;4;2;2;Switzerland
XXX1017663;Manufacture of plastics products;;;;;;;;;;;Brazil
XXX1017698;;;;;;;;;;;;Belgium
XXX1017704;Manufacture of other articles of paper and paperboard;XXXA600106646;03/02/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;United Kingdom
XXX1017706;Manufacture of starches and starch products;XXXA600083475;26/08/2024;Periodic audit;Announced;0;0;0;0;0;0;Mexico
XXX1017715;Manufacture of grain mill products;;;;;;;;;;;Czech Republic
XXX1017720;Other manufacturing n.e.c.;XXXA600191164;17/03/2026;Periodic audit;Announced;0;0;0;0;0;0;Argentina
XXX1017732;Manufacture of starches and starch products;XXXA600022077;18/09/2023;Periodic audit;Announced;0;0;0;0;0;0;Brazil
XXX1017742;;;;;;;;;;;;Russian Federation
XXX1017752;Manufacture of basic chemicals;XXXA423475677;14/04/2023;Periodic audit;Announced;0;0;0;0;0;0;Germany
XXX1017755;;;;;;;;;;;;Czech Republic
XXX1017758;Manufacture of spices, sauces and condiments;XXXA600177090;13/01/2026;Periodic audit;Announced;0;0;0;0;0;0;Italy
XXX1017773;;;;;;;;;;;;Germany
XXX1017779;;;;;;;;;;;;Russian Federation
XXX1017838;Manufacture of starches and starch products;XXXA600076555;31/03/2025;Full initial audit;Semi-announced;1;0;0;1;0;1;United States
XXX1017851;Manufacture of vegetable and animal oils and fats;XXXA600013556;13/06/2023;Partial follow-up audit;Announced;0;0;0;0;0;0;Netherlands
XXX1017857;Manufacture of other food products n.e.c.;XXXA600024961;05/11/2023;Full initial audit;Semi-announced;0;0;0;0;0;0;United States
XXX1017857;Manufacture of other food products n.e.c.;XXXA600024961;05/11/2023;Full initial audit;Semi-announced;0;0;0;0;0;0;United States
XXX1017865;Other manufacturing n.e.c.;XXXA600086136;27/09/2024;Periodic audit;Announced;0;0;0;0;0;0;United States
XXX1017952;;;;;;;;;;;;India
XXX1017996;;XXXA407171705;21/06/2019;Periodic audit;Announced;7;0;0;6;1;7;India
XXX1018035;;;;;;;;;;;;Venezuela, Bolivarian Republic of
XXX1018050;Manufacture of plastics products;XXXA600184642;05/02/2026;Partial follow-up audit;Semi-announced;0;0;0;0;0;0;India
XXX1018078;Manufacture of other fabricated metal products n.e.c.;XXXA600052850;04/04/2024;Full initial audit;Semi-announced;0;0;0;0;0;0;Netherlands
XXX1018080;Manufacture of other chemical products n.e.c.;;;;;;;;;;;Brazil
XXX1018100;;;;;;;;;;;;Mexico
XXX1018112;;;;;;;;;;;;Mexico
XXX1018159;Manufacture of basic chemicals;XXXA600100032;21/11/2024;Periodic audit;Semi-announced;4;0;0;3;1;4;United States
XXX1018196;;;;;;;;;;;;Mexico
XXX1018257;Manufacture of other pumps, compressors, taps and valves;;;;;;;;;;;France
XXX1018341;Manufacture of grain mill products;XXXA600150562;13/08/2025;Full initial audit;Semi-announced;2;0;2;0;0;2;China
XXX1018453;Manufacture of games and toys;XXXA600193784;25/03/2026;Periodic audit;Semi-announced;6;0;0;5;1;5;China
XXX1018483;Manufacture of plastics products;;;;;;;;;;;Spain
XXX1018521;Manufacture of pharmaceuticals, medicinal chemical and botanical products;XXXA600064893;27/05/2024;Periodic audit;Announced;0;0;0;0;0;0;China
XXX1018531;Manufacture of plastics products;XXXA600124320;03/04/2025;Full initial audit;Announced;0;0;0;0;0;0;Poland
XXX1018574;Other manufacturing n.e.c.;XXXA1014039;01/07/2014;Full initial audit;Announced;0;0;0;0;0;0;China
XXX1018620;;;;;;;;;;;;France
XXX1018903;Manufacture of other articles of paper and paperboard;XXXA600007689;10/04/2023;Full initial audit;Announced;4;0;0;1;3;4;United States
XXX1018911;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600173206;13/04/2026;Periodic audit;Semi-announced;15;0;4;9;2;9;Australia
XXX1019009;Manufacture of other food products n.e.c.;;;;;;;;;;;Australia
XXX1019023;Manufacture of plastics products;XXXA600166900;12/11/2025;Periodic audit;Announced;0;0;0;0;0;0;Italy
XXX1019026;;;;;;;;;;;;Greece
XXX1019043;Other manufacturing n.e.c.;XXXA600183811;02/02/2026;Periodic audit;Semi-announced;0;0;0;0;0;0;China
XXX1019141;Manufacture of spices, sauces and condiments;XXXA600140610;17/11/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;United Kingdom
XXX1019141;Manufacture of spices, sauces and condiments;XXXA600140610;17/11/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;United Kingdom
XXX1019179;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600032311;02/11/2023;Periodic audit;Semi-announced;0;0;0;0;0;0;Germany
XXX1019206;;;;;;;;;;;;Ireland, Republic of
XXX1019212;Manufacture of starches and starch products;XXXA600195346;02/04/2026;Partial follow-up audit;Semi-announced;0;0;0;0;0;0;China
XXX1019229;Manufacture of basic chemicals;XXXA424847054;05/09/2023;Partial follow-up audit;Announced;0;0;0;0;0;0;United Kingdom
XXX1019239;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600169736;26/11/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;United Kingdom
XXX1019256;Distilling, rectifying and blending of spirits;XXXA600186470;25/02/2026;Periodic audit;Announced;0;0;0;0;0;0;United States
XXX1019264;;;;;;;;;;;;China
XXX1019278;;;;;;;;;;;;China
XXX1019299;;;;;;;;;;;;China
XXX1019304;Manufacture of other food products n.e.c.;XXXA600083650;03/10/2024;Periodic audit;Semi-announced;0;0;0;0;0;0;United States
XXX1019317;Manufacture of sugar;XXXA600081826;29/10/2024;Periodic audit;Semi-announced;3;0;0;2;1;3;France
XXX1019330;Manufacture of grain mill products;XXXA600069253;17/06/2024;Full initial audit;Announced;1;0;0;1;0;1;United Kingdom
XXX1019330;Manufacture of grain mill products;XXXA600069253;17/06/2024;Full initial audit;Announced;1;0;0;1;0;1;United Kingdom
XXX1019345;;;;;;;;;;;;Canada
XXX1019387;Manufacture of dairy products;XXXA600196774;30/04/2026;Partial follow-up audit;Announced;0;0;0;0;0;0;Malaysia
XXX1019434;Wholesale of food, beverages and tobacco;XXXA600098524;29/11/2024;Partial follow-up audit;Announced;0;0;0;0;0;0;Mexico
XXX1019447;Manufacture of other food products n.e.c.;XXXA600171533;09/02/2026;Periodic audit;Semi-announced;0;0;0;0;0;0;Argentina
XXX1019447;Manufacture of other food products n.e.c.;XXXA600171533;09/02/2026;Periodic audit;Semi-announced;0;0;0;0;0;0;Argentina
XXX1019454;;;;;;;;;;;;India
XXX1019492;Warehousing and storage;XXXA600176927;23/04/2026;Periodic audit;Announced;5;0;1;3;1;2;United Kingdom
XXX1019523;Manufacture of dairy products;XXXA600126646;07/07/2025;Full initial audit;Semi-announced;0;0;0;0;0;0;United Kingdom
XXX1019529;;;;;;;;;;;;United Kingdom
XXX1019547;Processing and preserving of fruit and vegetables;;;;;;;;;;;United Kingdom
XXX1019556;Packaging activities;XXXA600198283;21/04/2026;Periodic audit;Semi-announced;5;0;1;4;0;4;Pakistan
XXX1019556;Packaging activities;XXXA600198283;21/04/2026;Periodic audit;Semi-announced;5;0;1;4;0;4;Pakistan
XXX1019562;Manufacture of cocoa, chocolate and sugar confectionery;;;;;;;;;;;United Kingdom
XXX1019566;;;;;;;;;;;;Canada
XXX1019569;Other manufacturing n.e.c.;XXXA600139309;15/10/2025;Periodic audit;Announced;0;0;0;0;0;0;Poland
XXX1019606;Manufacture of other food products n.e.c.;XXXA600182316;25/03/2026;Periodic audit;Announced;2;0;0;2;0;1;United States
XXX1019630;;;;;;;;;;;;Canada
XXX1019642;Packaging activities;XXXA600093066;11/10/2024;Periodic audit;Semi-announced;0;0;0;0;0;0;Thailand
XXX1019690;;;;;;;;;;;;China
XXX1019692;Other processing and preserving of meat;XXXA600085433;22/10/2024;Periodic audit;Semi-announced;0;0;0;0;0;0;United States
XXX1019700;;;;;;;;;;;;Malaysia
XXX1019716;;;;;;;;;;;;Malaysia
XXX1019720;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600086332;10/12/2024;Full initial audit;Announced;3;0;0;1;2;3;Belgium
XXX1019742;Manufacture of plastics products;XXXA600114867;15/07/2025;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1019756;;;;;;;;;;;;Switzerland
XXX1019759;Manufacture of other food products n.e.c.;XXXA600140726;07/07/2025;Full initial audit;Semi-announced;0;0;0;0;0;0;Turkey
XXX1019772;Manufacture of spices, sauces and condiments;XXXA600095946;11/11/2024;Partial follow-up audit;Semi-announced;4;0;0;3;1;4;United Kingdom
XXX1019787;Manufacture of plastics products;XXXA600143506;14/08/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;Brazil
XXX1019801;;;;;;;;;;;;Portugal
XXX1019815;Manufacture of pharmaceuticals, medicinal chemical and botanical products;;;;;;;;;;;China
XXX1019817;Manufacture of plastics products;XXXA600162010;13/10/2025;Full initial audit;Announced;0;0;0;0;0;0;China
XXX1019836;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;France
XXX1019854;Manufacture of plastics products;XXXA600152385;08/09/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Malaysia
XXX1019857;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;United States
XXX1019865;Manufacture of other articles of paper and paperboard;XXXA600186514;16/03/2026;Periodic audit;Announced;5;0;0;3;2;1;Poland
XXX1019867;"Manufacture of soft drinks; production of mineral waters and other bottled waters";XXXA1113434;15/04/2015;Full initial audit;Semi-announced;0;0;0;0;0;0;Poland
XXX1019870;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600150917;18/08/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Peru
XXX1019873;Manufacture of other food products n.e.c.;XXXA600154596;23/09/2025;Periodic audit;Announced;1;0;0;0;1;1;United States
XXX1019889;;;;;;;;;;;;Poland
XXX1019898;Manufacture of sugar;XXXA600115854;25/02/2025;Periodic audit;Announced;0;0;0;0;0;0;Spain
XXX1019904;Manufacture of dairy products;XXXA600015954;10/07/2023;Full initial audit;Unannounced;0;0;0;0;0;0;Netherlands
XXX1019912;;;;;;;;;;;;China
XXX1019919;Manufacture of spices, sauces and condiments;XXXA600166912;10/11/2025;Periodic audit;Announced;2;0;1;0;1;2;United States
XXX1019927;Manufacture of basic chemicals;XXXA600193071;13/04/2026;Periodic audit;Announced;5;0;0;4;1;0;Spain
XXX1019935;Manufacture of other chemical products n.e.c.;XXXA600116621;14/07/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Netherlands
XXX1019944;Operation of slaughterhouses engaged in killing, dressing or packing meat;;;;;;;;;;;United States
XXX1019951;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA416870815;07/10/2021;Full initial audit;Announced;0;0;0;0;0;0;Latvia
XXX1019955;;;;;;;;;;;;India
XXX1019977;Manufacture of vegetable and animal oils and fats;XXXA600184329;23/03/2026;Periodic audit;Announced;7;0;2;2;3;1;Ecuador
XXX1020033;;;;;;;;;;;;United States
XXX1020052;Manufacture of other food products n.e.c.;XXXA600141920;26/06/2025;Partial follow-up audit;Semi-announced;0;0;0;0;0;0;India
XXX1020075;;;;;;;;;;;;United States
XXX1020100;Manufacture of vegetable and animal oils and fats;;;;;;;;;;;Malaysia
XXX1020111;Manufacture of dairy products;XXXA600140070;11/12/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Netherlands
XXX1020138;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;United States
XXX1020139;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;United States
XXX1020162;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;United States
XXX1020169;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;United States
XXX1020177;;;;;;;;;;;;Spain
XXX1020178;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600177690;12/02/2026;Periodic audit;Semi-announced;8;0;6;2;0;8;India
XXX1020185;;;;;;;;;;;;Brazil
XXX1020189;;;;;;;;;;;;India
XXX1020203;Manufacture of other articles of paper and paperboard;;;;;;;;;;;France
XXX1020215;Manufacture of other food products n.e.c.;XXXA600132161;20/01/2026;Periodic audit;Semi-announced;3;0;0;3;0;1;Germany
XXX1020216;Manufacture of vegetable and animal oils and fats;XXXA600085813;16/10/2024;Full initial audit;Announced;0;0;0;0;0;0;Hungary
XXX1020234;Manufacture of dairy products;XXXA600107453;27/01/2025;Full initial audit;Announced;7;0;0;6;1;7;Italy
XXX1020343;Manufacture of plastics products;XXXA600190908;12/03/2026;Periodic audit;Semi-announced;3;0;1;1;1;3;Thailand
XXX1020352;Manufacture of vegetable and animal oils and fats;XXXA600182238;24/01/2026;Periodic audit;Semi-announced;4;0;3;1;0;4;India
XXX1020427;;;;;;;;;;;;Bulgaria
XXX1020436;Processing and preserving of fruit and vegetables;XXXA600144576;08/07/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;Brazil
XXX1020437;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600164445;23/10/2025;Periodic audit;Semi-announced;13;0;2;9;2;9;France
XXX1020438;Manufacture of dairy products;XXXA3710365;02/02/2016;Partial follow-up audit;Announced;0;0;0;0;0;0;Norway
XXX1020442;Renting and leasing of other machinery, equipment and tangible goods;;;;;;;;;;;United Kingdom
XXX1020455;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600070953;14/06/2024;Full initial audit;Semi-announced;0;0;0;0;0;0;Pakistan
XXX1020478;Manufacture of starches and starch products;XXXA600177889;30/12/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;Peru
XXX1020504;Manufacture of other food products n.e.c.;;;;;;;;;;;Chile
XXX1020509;Manufacture of bakery products;XXXA600105227;07/04/2025;Periodic audit;Announced;0;0;0;0;0;0;Sweden
XXX1020511;Manufacture of grain mill products;;;;;;;;;;;Spain
XXX1020525;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600062288;20/06/2024;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1020525;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600062288;20/06/2024;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1020532;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600165133;27/10/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Peru
XXX1020563;Manufacture of other food products n.e.c.;XXXA600146398;18/09/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;Brazil
XXX1020615;;;;;;;;;;;;China
XXX1020623;Manufacture of other chemical products n.e.c.;XXXA600009002;20/04/2023;Full initial audit;Announced;0;0;0;0;0;0;Germany
XXX1020747;Manufacture of refined petroleum products;XXXA405463387;01/11/2018;Periodic audit;Announced;4;0;0;3;1;4;Turkey
XXX1020787;;;;;;;;;;;;Canada
XXX1020801;;;;;;;;;;;;Philippines
XXX1020823;Manufacture of other fabricated metal products n.e.c.;;;;;;;;;;;Netherlands
XXX1020842;;;;;;;;;;;;Brazil
XXX1020872;Manufacture of spices, sauces and condiments;;;;;;;;;;;Argentina
XXX1020960;Manufacture of vegetable and animal oils and fats;XXXA600166174;05/11/2025;Periodic audit;Announced;0;0;0;0;0;0;Argentina
XXX1020997;;;;;;;;;;;;France
XXX1021010;Manufacture of sugar;XXXA600187043;20/02/2026;Periodic audit;Semi-announced;0;0;0;0;0;0;India
XXX1021033;Manufacture of paints, varnishes and similar coatings, printing ink and mastics;;;;;;;;;;;China
XXX1021069;Manufacture of grain mill products;;;;;;;;;;;Poland
XXX1021176;;;;;;;;;;;;United States
XXX1021189;Manufacture of dairy products;XXXA600120379;24/04/2025;Periodic audit;Semi-announced;3;0;0;3;0;3;United States
XXX1021224;Manufacture of plastics products;XXXA600099657;18/11/2024;Full initial audit;Announced;9;1;5;1;2;9;Viet Nam
XXX1021301;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;United States
XXX1021301;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;United States
XXX1021325;Installation of industrial machinery and equipment;;;;;;;;;;;Germany
XXX1021351;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600195385;21/04/2026;Periodic audit;Announced;11;0;0;7;4;0;Sweden
XXX1021351;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600195385;21/04/2026;Periodic audit;Announced;11;0;0;7;4;0;Sweden
XXX1021375;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600201403;05/05/2026;Full initial audit;Announced;4;0;0;2;2;0;United States
XXX1021378;;;;;;;;;;;;Thailand
XXX1021710;Manufacture of other food products n.e.c.;XXXA600122559;29/04/2025;Periodic audit;Semi-announced;1;0;0;0;1;1;United States
